"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"1","doc1",1,1,"Pak, mengganggu sedikit.","1","Pak",NA,"PROPN",NA,NA,"3","nsubj",NA,"SpaceAfter=No"
"2","doc1",1,1,"Pak, mengganggu sedikit.","2",",",NA,"PUNCT",NA,NA,"1","punct",NA,NA
"3","doc1",1,1,"Pak, mengganggu sedikit.","3","mengganggu",NA,"VERB",NA,NA,"0","root",NA,NA
"4","doc1",1,1,"Pak, mengganggu sedikit.","4","sedikit",NA,"ADV",NA,NA,"3","advmod",NA,"SpaceAfter=No"
"5","doc1",1,1,"Pak, mengganggu sedikit.","5",".",NA,"PUNCT",NA,NA,"3","punct",NA,NA
"6","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","1","Kami",NA,"PROPN",NA,NA,"8","nsubj",NA,NA
"7","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","2","dari",NA,"ADP",NA,NA,"3","case",NA,NA
"8","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","3","RRI",NA,"PROPN",NA,NA,"1","nmod",NA,"SpaceAfter=No"
"9","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","4",".",NA,"PUNCT",NA,NA,"1","punct",NA,NA
"10","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","5","Sudah",NA,"PROPN",NA,NA,"1","flat",NA,NA
"11","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","6","lama",NA,"ADJ",NA,NA,"1","amod",NA,NA
"12","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","7","Bapak",NA,"PROPN",NA,NA,"1","flat",NA,NA
"13","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","8","muncul",NA,"VERB",NA,NA,"0","root",NA,NA
"14","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","9","di",NA,"ADP",NA,NA,"10","case",NA,NA
"15","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","10","sini",NA,"NOUN",NA,NA,"8","obl",NA,"SpaceAfter=No"
"16","doc1",1,2,"Kami dari RRI. Sudah lama Bapak muncul di sini?","11","?",NA,"PUNCT",NA,NA,"8","punct",NA,"SpacesAfter=\n"
"17","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","1","Sudah",NA,"ADV",NA,NA,"2","advmod",NA,NA
"18","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","2","lama",NA,"ADJ",NA,NA,"0","root",NA,NA
"19","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","3","juga",NA,"ADV",NA,NA,"2","advmod",NA,"SpaceAfter=No"
"20","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","4",",",NA,"PUNCT",NA,NA,"12","punct",NA,NA
"21","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","5","karena",NA,"SCONJ",NA,NA,"12","mark",NA,NA
"22","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","6","saya",NA,"PRON",NA,NA,"12","nsubj:pass",NA,NA
"23","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","7","sudah",NA,"ADV",NA,NA,"9","advmod",NA,NA
"24","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","8","di",NA,"ADP",NA,NA,"9","case",NA,NA
"25","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","9","sini",NA,"NOUN",NA,NA,"12","obl",NA,NA
"26","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","10","sejak",NA,"ADP",NA,NA,"9","case",NA,NA
"27","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","11","ini",NA,"DET",NA,NA,"9","det",NA,NA
"28","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","12","diresmikan",NA,"VERB",NA,NA,"2","conj",NA,"SpaceAfter=No"
"29","doc2",1,1,"Sudah lama juga, karena saya sudah di sini sejak ini diresmikan.","13",".",NA,"PUNCT",NA,NA,"12","punct",NA,NA
"30","doc2",1,2,"Jadi, cukup lama juga.","1","Jadi",NA,"ADV",NA,NA,"4","advmod",NA,"SpaceAfter=No"
"31","doc2",1,2,"Jadi, cukup lama juga.","2",",",NA,"PUNCT",NA,NA,"1","punct",NA,NA
"32","doc2",1,2,"Jadi, cukup lama juga.","3","cukup",NA,"ADV",NA,NA,"4","advmod",NA,NA
"33","doc2",1,2,"Jadi, cukup lama juga.","4","lama",NA,"ADJ",NA,NA,"0","root",NA,NA
"34","doc2",1,2,"Jadi, cukup lama juga.","5","juga",NA,"ADV",NA,NA,"4","advmod",NA,"SpaceAfter=No"
"35","doc2",1,2,"Jadi, cukup lama juga.","6",".",NA,"PUNCT",NA,NA,"4","punct",NA,"SpacesAfter=\n"
"36","doc3",1,1,"Apa yang dijual di sini?","1","Apa",NA,"NOUN",NA,NA,"0","root",NA,NA
"37","doc3",1,1,"Apa yang dijual di sini?","2","yang",NA,"PRON",NA,NA,"3","nsubj:pass",NA,NA
"38","doc3",1,1,"Apa yang dijual di sini?","3","dijual",NA,"VERB",NA,NA,"1","acl",NA,NA
"39","doc3",1,1,"Apa yang dijual di sini?","4","di",NA,"ADP",NA,NA,"5","case",NA,NA
"40","doc3",1,1,"Apa yang dijual di sini?","5","sini",NA,"NOUN",NA,NA,"3","obl",NA,"SpaceAfter=No"
"41","doc3",1,1,"Apa yang dijual di sini?","6","?",NA,"PUNCT",NA,NA,"1","punct",NA,"SpacesAfter=\n"
